GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Owner occupied,Margin of Error; Total: - Owner occupied,Estimate; Total: - Renter occupied,Margin of Error; Total: - Renter occupied
1400000US53033024100,53033024100,"Census Tract 241, King County, Washington",1705,61,1572,61,133,32
1400000US53033024200,53033024200,"Census Tract 242, King County, Washington",1170,68,1044,91,126,53
1400000US53033024300,53033024300,"Census Tract 243, King County, Washington",3880,167,2217,201,1663,204
1400000US53033024400,53033024400,"Census Tract 244, King County, Washington",1337,96,489,65,848,107
1400000US53033024500,53033024500,"Census Tract 245, King County, Washington",1715,69,1471,95,244,70
1400000US53033024601,53033024601,"Census Tract 246.01, King County, Washington",1630,60,1544,68,86,43
1400000US53033024602,53033024602,"Census Tract 246.02, King County, Washington",1305,47,1229,59,76,39
1400000US53033024701,53033024701,"Census Tract 247.01, King County, Washington",1427,103,952,123,475,128
1400000US53033024702,53033024702,"Census Tract 247.02, King County, Washington",2959,124,2625,173,334,140
1400000US53033024800,53033024800,"Census Tract 248, King County, Washington",2150,172,1209,217,941,224
1400000US53033024901,53033024901,"Census Tract 249.01, King County, Washington",1837,37,1684,64,153,59
1400000US53033024902,53033024902,"Census Tract 249.02, King County, Washington",1349,51,1140,88,209,74
1400000US53033024903,53033024903,"Census Tract 249.03, King County, Washington",2324,99,2160,106,164,73
1400000US53033025001,53033025001,"Census Tract 250.01, King County, Washington",1894,81,1565,104,329,87
1400000US53033025003,53033025003,"Census Tract 250.03, King County, Washington",2593,133,1853,170,740,147
1400000US53033025005,53033025005,"Census Tract 250.05, King County, Washington",1948,130,1387,119,561,100
1400000US53033025006,53033025006,"Census Tract 250.06, King County, Washington",2295,139,1647,156,648,155
1400000US53033025101,53033025101,"Census Tract 251.01, King County, Washington",2112,107,1345,129,767,160
1400000US53033025102,53033025102,"Census Tract 251.02, King County, Washington",2778,134,1948,181,830,184
1400000US53033025200,53033025200,"Census Tract 252, King County, Washington",3263,89,2138,226,1125,227
1400000US53033025301,53033025301,"Census Tract 253.01, King County, Washington",3026,132,1002,153,2024,200
1400000US53033025302,53033025302,"Census Tract 253.02, King County, Washington",2711,140,355,105,2356,155
1400000US53033025400,53033025400,"Census Tract 254, King County, Washington",3078,154,874,165,2204,189
1400000US53033025500,53033025500,"Census Tract 255, King County, Washington",2026,59,899,114,1127,128
1400000US53033025601,53033025601,"Census Tract 256.01, King County, Washington",1998,44,1367,110,631,105
1400000US53033025602,53033025602,"Census Tract 256.02, King County, Washington",2079,85,1953,105,126,72
1400000US53033025701,53033025701,"Census Tract 257.01, King County, Washington",2893,134,897,172,1996,178
1400000US53033025702,53033025702,"Census Tract 257.02, King County, Washington",1239,66,938,81,301,77
1400000US53033025803,53033025803,"Census Tract 258.03, King County, Washington",1761,90,940,95,821,102
1400000US53033025804,53033025804,"Census Tract 258.04, King County, Washington",1128,110,970,118,158,50
1400000US53033025805,53033025805,"Census Tract 258.05, King County, Washington",1928,104,999,134,929,131
1400000US53033025806,53033025806,"Census Tract 258.06, King County, Washington",1733,95,916,100,817,123
1400000US53033026001,53033026001,"Census Tract 260.01, King County, Washington",2089,97,1614,147,475,120
1400000US53033026002,53033026002,"Census Tract 260.02, King County, Washington",3040,129,1470,166,1570,190
1400000US53033026100,53033026100,"Census Tract 261, King County, Washington",2830,180,1285,199,1545,244
1400000US53033026200,53033026200,"Census Tract 262, King County, Washington",2247,136,698,165,1549,162
1400000US53033026300,53033026300,"Census Tract 263, King County, Washington",566,50,371,61,195,53
1400000US53033026400,53033026400,"Census Tract 264, King County, Washington",2397,141,1050,179,1347,191
1400000US53033026500,53033026500,"Census Tract 265, King County, Washington",1521,68,496,104,1025,112
1400000US53033026600,53033026600,"Census Tract 266, King County, Washington",882,58,587,69,295,80
1400000US53033026700,53033026700,"Census Tract 267, King County, Washington",1901,159,1334,152,567,143
1400000US53033026801,53033026801,"Census Tract 268.01, King County, Washington",2125,135,801,161,1324,201
1400000US53033026802,53033026802,"Census Tract 268.02, King County, Washington",1723,107,917,123,806,134
1400000US53033027000,53033027000,"Census Tract 270, King County, Washington",1160,64,797,109,363,98
1400000US53033027100,53033027100,"Census Tract 271, King County, Washington",1272,79,484,116,788,107
1400000US53033027200,53033027200,"Census Tract 272, King County, Washington",841,57,486,66,355,62
1400000US53033027300,53033027300,"Census Tract 273, King County, Washington",1851,93,950,109,901,109
1400000US53033027400,53033027400,"Census Tract 274, King County, Washington",1712,102,1277,134,435,124
1400000US53033027500,53033027500,"Census Tract 275, King County, Washington",1765,111,974,111,791,121
1400000US53033027600,53033027600,"Census Tract 276, King County, Washington",1721,100,866,108,855,105
1400000US53033027701,53033027701,"Census Tract 277.01, King County, Washington",2185,191,1574,150,611,195
1400000US53033027702,53033027702,"Census Tract 277.02, King County, Washington",2222,192,1959,222,263,122
